title	release_date	album	lyrics
Riverbed 1		Talkin’ Honky Blues	i take my orders from the street lights wind at my shoulder the afternoon is grey and the air is getting colder im old fashioned and on foot passionate and fascinated wide eyed awake and ready for anything navigating side walks dry docks and back alleys always in and out of elevators and hallways im out for a walk and following the human currents im in no hurry i need no reassurance curfews and perfumes excuses and costumes customs corrections fuss or directions even the leaves have taken on lives deprived of their privacy purpose and property probably runaways they play catch with stray cats that stay at the girls school the citys a whirlpool theres too much going on theres too much garbage too much to choose from too much carnage theres not enough quiet to think straight its not a stunt maybe i will make my way back to the waterfront this is where the people are slightly unsavoury with no time possessions labor or slavery neighbors without names neglected and hip checked stripped down to nothing fallen and ship wrecked completely uncalled for way out of line stranded branded weathered and abandoned these are counter clock wise the despised with swollen noses and tears in their eyes and tears in their clothes and time on their hands they sleep walk full of that cheap wine and cheap talk everything gets washed away at the pier the best you can do is play it by ear wishes sink to the bottom and doubts float im afraid of the water and i live in this houseboat
Sore		Talkin’ Honky Blues	vultures and helicopters overhead im breaking down used car blues its no time to joke around the only solution i can think of so far is to smash out the windows with a crowbar and as the headlights shatter into stars one by one i curse at the road and try to knock out the sun i kick in the corner panels son of a whore the paint starts to chip off as i rip off one of the doors same hotel room again with the right mixture of terrible smells and dead flies in the light fixture i listen to the oldies station half asleep and kind of smokey girl in the next room is howling like a coyote hand in my pants feeling like a phyllistine all eyes empty every door way a guillotine im drunk on loneliness out of shape and half eaten the phone dont work and gods in a staff meeting out of breath at the end of a long summer waiting for a phone call that isnt a wrong number a smile from a pretty girl feet dont fail me i sleep like a baby and get out of jail free i spit my teeth in my hand and read the classifieds poke holes in my memories until im satisfied im drawn to familiar environments and dangers i look at my photo albums and all i see are strangers
Bandits	2005-01-01	This Right Here is Buck 65	cardboard crown across the side says fragile shirt unbuttoned pleasure fool im agile ripped up forms men with swords tear the flesh eyes like shadows one way ticket marrakesh no doors or windows caught on fire high speed train smashed up lives torrential downpour i need pain stuntmans wife back alley mattress wrath of addicts underwater second language mathematics run like a racehorse outright madness under the bridge well make out like bandits run like a racehorse outright madness under the bridge well make out like bandits  make a stop hurry up go away fight it off hit it hard dig a hole show the way take a dive break it up make it bleed dry now call it off kick it out let it breathe die down motion sickness dry and yellow heaven beckons tornado warning target practice seven seconds cimetire du montparnasse fair decision russels viper 3 am midair collision silly girls and beat up boys all goin fast lightin fires killin music blowin glass whispered fury deepest secrets separate treasures the eyes go pink now slap the forehead desperate measures  run like a racehorse outright madness under the bridge well make out like bandits run like a racehorse outright madness under the bridge well make out like bandits
Talking Fish Blues		This Right Here is Buck 65	i went down to the fishing hole and i set down with my fishing pole something grabbed my hook and it got my bait and jerked me out in the middle of the lake some junk got sunk kinda baptized on credit fishing down on the muddy bank felt a pull an give a big yank i drug out three old rubber boots a ford radiator an a chevrolet coop handed it in for national defense setting in a boat with a bucket of beer hadnt caught nothing but didnt much care i guess i was pretty well satisfied had my little woman right by my side taking it easy just waiting worm been gone off a that hook for a couple of hours when you go fishing tell yall what to do go set down by the grassy dew take a piece of string tie it on your pole throw it way out in the middle of the hole find you a good shade tree and then just set down go to sleep forget all about it jumped in the river and went down deep there was a hundred pound cat fish lying there asleep well i jumped on his back and rode him all aroun saddled him up and i came into town people came running looking dogs a barking kids a squalling old folks farting stagnant waters stinking thing slick on top turn on cream water goes bad the fish all run sit out all day and not catch a one except mud  few little suckers well i walked out to a sandy bar and i caught myself a big alligator gar drug him home across my back tail was dragging a mile and a half flipping and flopping i sold him for a quarter shot craps got in jail early one morning i took me a notion to go out fishing in the middle of the ocean well throwed me a line i got me a shark i didnt get him home till way past dark man eater tough customer but he wasnt quite tough enough late last night i had me a dream i was out fishing in a whiskey stream baited my hook with apple jack threw out a drink drug a gallon back done pretty good till the creek run dry had to give my fish back to the finance company
Out of Focus		This Right Here is Buck 65	dirty and low with the same pair of pants on tables i dance on and benches at bed time way passed the deadline and waiting for the worlds end i just had a terrible argument with my girlfriend something or other i always seem to be in trouble getting kind of hard to hear and maybe now im seeing double god almighty give me strength to put the poison down tomorrow tonight im gonna stay up late see if i can drown in sorrow i go under the blouse and grope for the breast i call this one hope and hope for the rest i play fight rarely and barely touch the surface anchors away im out of focus on purpose i go under the blouse and grope for the breast i call this one hope and hope for the rest i play fight rarely and barely touch the surface anchors away im out of focus on purpose im lower than life living like its the last day eyes gone out and hard like an ashtray dog wont play with me im smelly and unshaven walking in circles and searching for a safe haven times running low but sitll i remain patient practicing my lines hanging out at the train station five hundred excuses and working on a dozen more unemployed again your parents hate me cause im poor i go under the blouse and grope for the breast i call this one hope and hope for the rest i play fight rarely and barely touch the surface anchors away im out of focus on purpose i go under the blouse and grope for the breast i call this one hope and hope for the rest i play fight rarely and barely touch the surface anchors away im out of focus on purpose im quick to throw the towel and too stubborn to apologize the future is bleak and my memories are wallet sized im out of ideas it feels like im choking all of my mirrors and promises are broken im lousy and threadbare too low to get down almost out of gas but cant stand to sit down god almighty wish me luck let me go to sleep im trying to keep it all together ive got a lot to keep from crying i go under the blouse and grope for the breast i call this one hope and hope for the rest i play fight rarely and barely touch the surface anchors away im out of focus on purpose i go under the blouse and grope for the breast i call this one hope and hope for the rest i play fight rarely and barely touch the surface anchors away im out of focus on purpose
Phil		This Right Here is Buck 65	twenty some years is a long walk even if its not in a straight line you see a lot of things in the distance yknow what they say about great minds you and i think about the same things dream the same dreams play the same games we started out in the same place believe it or not weve got the same names everything happens for a good cause whether it be victory or loss and the road may turn into a runway but you dont know what to do someday trust me ive seen it all before ive climbed to the tops of the tallest trees to get away from the deep water to find a touch of the smallest breeze go find a girl with a low voice who holds the world in her bare hands youll fall in love youve got no choice once you are given a fair chance for the first time you will sleep well take a deep breath see the sun shine hold onto her for dear life and then watch the whole world unwind ask her to show you some magic and i guarantee that shell say yes tell her that youve seen forever and we will be together not a day less just know until that time comes and after youve crossed that first mile that the hardest part is behind you and all of the pain only worthwhile from storm clouds come angels let pain give you pleasure from dirt grows the flower when faith cant be measured from storm clouds come angels let pain give you pleasure from dirt grows the flower when faith cant be measured
Cries a Girl		This Right Here is Buck 65	i was raised on a dirt road ghost town stray dogs whole nine the gold mine closed down i knew the woods like the back of my hand and i would shoot the breeze with the roots of trees go down by the river and watch the way the devil dances but never took his hand even though i did have several chances everybody slipped when the morning dew turned to frost darkness moved in somebody burned the cross a girl named stella kewan was prettier than youd imagine the town shouldve given her the crown for the beauty pageant but instead some local pinheads started spreading rumours about the kewans being in breds and whats worse people believed it cause the family was dirt poor down on their luck so that made it hurt more pickin up garbage and mowin the grass at this point stella stopped going to class you know how they ridiculed the kid in school and this shits enough to make anybody feel like a misfit she made herself invisible and hid inside a house of mirrors whenever the fear stops so did the tear drops but fear is forever and lies become legend growing eventually slowing exponentially she should have been a cover girl treated like a princess but shes an enigma haunted by the stigma of incest  she tried to hide the scars her name reminds me of the stars i saw diamonds divide corners of her eyes she tried to hide the scars her name reminds me of the stars i saw diamonds divide corners of her eyes  one horse town known for the most softness little old school house burned down post office blueberries and bullrushes a tree with a tire swing volunteer firemens fare the whole entire thing stella was heartbroken decided to start smokin bad taste in her mouth she drew to a sad face her few friends were worried and her parents were always proud of her but she never escaped from under the cloud cover a woman reduced she was eaten by a monster and after all these years her past still haunts her and whispers her name when shes trying instead to just listen to music while shes lying in bed now the story of stella is one that every child knows but the witch in the woods is more like a wild rose
In Every Dream House There Is A Heartache		Vertex	in every dream home a heartache and every step i take takes me further from heaven is there a heaven id like to think so standards of living theyre rising daily but home oh sweet home its only a saying from bell push to faucet in smart town apartment the cottage is pretty the main house a palace penthouse perfection but what goes on what to do there better pray there open plan living bungalow ranch style all of its comforts seem so essential i bought you mail order my plain wrapper baby your skin is like vinyl the perfect companion you float my new pool de luxe and delightful inflatable doll my role is to serve you disposable darling cant throw you away now immortal and life size my breath is inside you ill dress you up daily and keep you till death sighs inflatable doll lover ungrateful i blew up your body but you blew my mind
The Centaur		Vertex	most people are curious some wanna get dirt on the centaur im famous i walk around with no shirt on the easiest way would be for you to lie face down im a man but im built like a horse from the waist down people are afraid of me but act like they love me feast your eyes upon my nudity i am beauty and the beast i have plenty to say but nobody listens because my cock is so big and the end of it glistens so im famous for it freaky is what everyones name is for it sure its larger than yours im a centaur for chrissakes i like to eat rice cakes and listen to classical music im told passion is my specialty but really im old fashioned im quite well built as far as physiques go so people seem to think that i belong in a freak show they wanna have pictures taken constantly assumin that my sex drive is three times that of a normal human askin silly questions like im their personal mentor all they care about is my big dick because im the centaur the porno industry wants to pay me lots of money to appear in books and movie cause they think i look funny but im lookin for true love not groupies and freaks more than a huge cock   i have a complicated mind im not the favorite kind of companion for the average person sometimes things start well but eventually worsen when sex becomes a problem or else theyre unimpressed with the attention that you get bein a centaurs love interest you dont care about my next life just my ex wife and the intimate details of our sex life most people are curious some wanna get dirt on the centaur im famous i walk around with no shirt on the easiest way would be for you to lie face down im a man but im built like a horse from the waist down
Sounds From the Back of the Bus		Vertex	i hide behind the curtain listening to whispers with my fingers cross i got 2 little sisters to think about in the event that ghosts appears im told im supposed to hear a signal when the coast is clear but im alone in this room and it scares me to start im having second thoughts and it tears me apart hold on to my breath for dear life feeling confused yet still enthusiastic about the sound of music join me please
To Say the Very Least		Vertex	more often than not whats worth owning is worth fighting for whether it be life love and the pursuit of happiness moms apple pie or even something as basic as sex and dont go knocking it that three letter word makes a mockery of the four letter onces that tries to cheaping it its a wonderful game for people of all ages and even for losers its worth a try thats good morning and good bye  they sit in your section they think you gentle and nice you bring glasses of water with lentils and rice old fashioned outfits that also appears that gratuities are greater when you dont wear brasires they give you their orders and watch when you write them wishing that you could be there menu item they wanna be breast fed the day you get work off if you in their thoughts they walk home and then jerk off you look like a model so young and intrepid the regular customers are old and decrepit the food is here rotten but the service is stellar i know that i love her and i wish i could tell her but they dont know your name cause you dont really care as long as they tip you and stay in their chair they swallow their tongues and the venom of 30 vipers if you tell them a lie and changes the dirty diapers
The Blues, Pt. 1		Vertex	a game worth winnin from the beginnin of the first inning an essential day off since its provincial playoffs and im playin shortstop batting fourth in the line up the opposing pitchers a right hander with an unorthodox wind up and a good move to first throws a curve and changes speeds can be wild at times and known to blow the strangest leads like the last time we faced him he turned one savage lead into a loss for his team and inflated his earned run average but today he seems focused and we were stuck out to dry in the top of the first cause he struck out the side but in the bottom half the bad guys came out swingin a lot of coaches like to choose takin the same route bringing the big hitters to the plate and players that are purely speed and try to manufacture runs and jump out to an early lead and this time it worked so we were gonna need a hero cause after one complete the scores already 3 to 0 leadin off the second i swung at the first pitch no wonder the center fielder back peddled to the track and settled under it 0 for 1 and cant get goin the balls thrown around the horn and back to the pitcher now and all is going good for the bad guys but not so hot for the visitors the big right hander is takin no prisoners he seems to have us figured out the question is can we compete hes pitching perfect after 3 complete and has a 3 1 lead top of the fourth and our lead off hitter makes it to first base and here we go its the worst case scenario for any opposing pitcher because he got a reckon that the first chance he gets hes gonna try to steal second which he does so for the first time during the mission weve got nobody out and a man in scoring position the next batter flies out to right but yo word thats still only one out and a runner on third so then the number 3 hitter steps up to the conventional talk showin where hell hit but draws the intentional walk its an old maneuver they made cause trouble may follow unless they get the double play from the clean up hitter and thats me the infielders set up a double play depth when theyre ready but i smack a line drive into left center for a double bringing two across which just leaves it up to me to do the damage in the clean up spot cause now the score was 3 to 2 the score remained the same through five past hits to pretense we kept it close with a dazzling display of defense we had to pull the starting pitcher the one that was left handed the story of the sixth inning was base runners left stranded and bullpen activity but still the job is gettin it done after a perfectly executed hit and run and what may later prove to be the ultimate game winning catch we got a tie game going into the seventh inning stretch
Memory Is Parallax		Vertex	suger in the gastank and sand in the vasoline buck 65 and foreign currencies just in case and for emergencies i keep double copies single pairs of plastic explosive if i need them for signal flairs goshdarnit im the intesifying image of your last hope incarnate five percent fairytale and ninety five of me is hardwork and i rarely fail even though im very pale i wear a suit of armor and in the summer time i ride my bike and get a farmers tan forty one to thirty and im ok for hours backstage at the showcase i want bouquets of flowers a large order of frieds and im sort of surprised because the same thing happened in the lord of the flies when piggy lost his glasses and got crushed by a boulder thanks and no and even though im touched i am older 47516 all i needs a flexed wrist stupid djs would give their right arm to be ambidextrous the path of radical thought is mathematical i substract distractions in addition to inhibitions now cmon everybody click your heels and do the dorothy dont go lookin for trees through the forestry ill calmy and gladly tell your mommy and daddy that their little baby girl is part of an experiment i never meant to scare anyone ive been honest ive been nice but i feel like im skating on thin ice and my skates need sharpening i got hardwood floors but i cover them up with some nice shag carpeting ive pulled whole lotsa dollars out of whole lotsa pockets but life is still just a big old bowl of cherries and luck berries to chew on and any kind of fruit juice i used to always either have a bleeding nose or loose tooth that was in the seventies ill tell ya ladies and gentlemen that after bein in the nineties replaced the eighties adrenalin these be the things that the world says to censor and it will snap your head back like an old fashioned pez dispenser so try to stay on top of it in fact knowing opposites attract the best thing might be to open windows for security as we slip into obscurity and something more comfortable try to bear in mind that memory is parallax
Jaws of Life		Vertex	i used to march around the playground with my friends yelling we hate girls and now alls well that ends well and theres so much to be said for fresh starts and second chances in a world of scary monsters and high tech advances i try to do what i do with love instead of with anger and when sometimes i bite my nails cause real life is a cliffhanger what with only seconds left at the end of the 10th hour we got emergency ways to respond to the nth power the alloys are light weight and increasingly durable but as far as im concerned the original is preferable im stubborn that way i piss while humanity waits my motto wouldnt fit on a set of vanity plates the watch in my pocket maybe indeed old and tarnished but at least i can raise my hand without a shoulder harness you know i can easily replace my lungs with a respirator my pants with a dv and my staircase with an escalator but my life revolves around the spherical orbit of earth and it ends forever with the miracle moment of birth on the first day of spring i start work on the fall edition and decide for myself whos a thief and whos a politician its two different things on different pages of the calendar i gauge the way i react on the age of my challengers i row my boat gently against the current and i believe in real life and death experience and keeping and even keel whats that dim stop that racket 2x damn that noise ill kill them all
Style 386		Vertex	from dawn to sunrise sunrise to dawn i drop math in ya path and rock on sunrise to dawn from dawn to sunrise for you to try battlin me would be unwise 65 cause seven days of the week so you dont wanna catch a sinker slider to the cheek bone call me critical the disc jockey the b side kickin phat beats eternal the colonel pushin fried chicken snap cracklin the daft shacklin rap jackels sneak attack battlin wack tacklin the crab apple got skills but at the same time artist i face the east and pray to the rhyme goddess with the tender lovin there aint another bitch like her the good sumaritin homicidal hitchhicker hell on wheels of steel stick shifted puffin on beats and rock on to get quick lifted syllables into non refillable blank spaces eliminatin contestants according to their rank basis buryin caesarean mcs when the scratch is torn direct other rappers cant fuck with the natural born i never face the same ginet that romeo faces cause im too concerned with my own homeostasis the dj front and center and the sooner he flips youll be freeze framin till the next lunar eclipse with the crazy ass birds a prey they got the right words to say they come and sit beside you when ya eatin ya curds and whey try to make a new jack feel the ace of spades before ya know the ledge gettin sorta might replace his grades used and confused goin about the whole scheme wrong ass backwards from the closin credits to the theme song dire straits reminising back to prior dates ya better off tossin ya rhyme book in the fire place to slash and burn and try to learn how to earn the wage the end of the chapter for a rapper time to turn the page pathetic cryin on ya knees beggin for a lease please lemme keep the autographed poster and the creased sleeve the whole prize vaporized before your eyes ya lost objective because the dream was no longer cost effective ya threw a gutter ball and still had the utter gaul to profile and front when you know my shit is butter yall from dawn to sunrise sunrise to dawn i drop math in ya path and rock on sunrise to dawn from dawn to sunrise for you to try battlin me would be unwise from dawn to sunrise sunrise to dawn i drop math in ya path and rock on sunrise to dawn from dawn to sunrise for you to try battlin me would be unwise
Supper at Sundown		Vertex	i walked over sidewalk street by warehouse through dark brown mud one little dandy lion swayed up from the crack there ways dirt in it the crack not the dandy lion this is what i am doing right now not bowling not standing on your face walking slower than slaves faster than forests disappear damp cardboard scattered what nots suddenly i appeared in front of the fence if you were a small metal box with a hole in it floating five and a half feet off the ground six feet from the fence you would have seen me motion by through time and space i would not have cared about you or the fence it was eight feet tall one sixteenth inch thick corrugated sheet metal with a gray primer finish seeing that i wondered is it true that you couldnt find the scissors although it rained earlier the paper note was not destroyed part of a note that i found on the drying spottily sunny ground with brown skies over it and a spot of sun the note apparently it was ripped off the bottom of a letter by a parent she had planned to loose some weight this summer it said i thought about making it into something you cant even think that i know about the broken down swing set sat solemnly sideways in the center of the street tipped over and suddenly nothing happened it was then that i planned to dissemble myself and i new that it would not always be supper at sundown
Works of Light		Vertex	i dont even know if its really worth mentionin that anti freeze without toxic is rather thirst quenchinin anyway the point is you have to choose between school and having kids that splash around in the shallow end of the gene pool how did you manage to make the erection worthwhile with cigars and the scars from a see section birth style the next thing you know youre behind and pretty soon your moms taking photos of your date to the shitty junior prom even though you feel in your gastro intestinals that youd rather hang with yelson or castro in festivals you try so hard get ahead but you can only fail so you might as well start wearing your hair up in a ponytail if you need to be told what to say get a teleprompter and take some advice from a man up in a helicopter piss off the wrong person you think youre defending with promises made they may be just pretending
On All Fours		Vertex	theres equal spaces between the hurdles and steeple chases so i dont go around blowing smoke in peoples faces rather than acting like a pest to your spouse ill conduct my behavior like im a guest in your house no matter what cause i found out youll learn its your ass in the future if you fart on someones furniture not everyone thinks having no class is funny a fool is an outcast when he outlasts his money i dress like an old man but so what and lord knows i love little babies and i cry at award shows its nice to hear sad songs played on the piano im a fan of the fine arts and john gailliano i use mirrors to attempt to dispel on the powers of evil and believing smelling the flowers even life as a vagrant or thug will get stagnant so follow your nose and savior the fragrance i dont act hard and waste time with irrelevance or underestimate the audiences intelligence i do what i do with skill and sincerity i am what i am not a fraud or a parody so i dont act hard and waste time with irrelevance or underestimate the audiences intelligence i just do what i do with skill and sincerity
Brown Truck	1997-01-01	Vertex	i take a bite outta maryannas cookie and christines apple and write graffiti on the ceilin of the sistine chapel and no im not jokin bout drinkin coffee and pot smokin many minds try to take the weight off me and die broken but i remain soft spoken humble yet cocky if that makes any sense and i mumble like rocky balboa whats up to my good pals noah    tyrone and  oh yeah some of the other names aint good to mention because alotta folks dont know the true meanin of friendship and i wont let a drum machine come between me and myself i cant be bothered with cosmo politics wolves ran after us but they couldnt catch us scared because we strike anywhere like wooden matches first part finally and second part initial now what you call official art i call artificial who would be fool enough to think he or she wasnt cool enough to smell the flowers listen to the bees buzzin i tell my little sister shut her eyes and think about the butterflies and dont say bad words or utter lies its a classic case of abusin the telephone device and not bein able to take my own advice oh well whatch you gonna do should this spacious interior be home to goodness gracious id like to think so and id like to live long so hold the cold hand of the old man and give strong positive shouts out to the inner core of beauty at every step along the way on your tour of duty whatever that is and keep your mind open keep your ears open and keep your eyes wide open keep guessin
Slow Drama		Vertex	race is over and i won these are not contradictory facts all thats left now is victory laps and i have no intention of slowing the pace so unless you re a sucker you wont be showing your face guess what else i dont wanna shake hands or make friends and make amends so dont make plans cause not only can you not ride on my coat tails i wouldnt even let you clean the dirt out of my toe nails i consider your style to be garden variety you cant go around actin hard in society its only gonna lead to frustration more depression and vague illusions over a minor key chord progression so continue the chase by all means but you might wanna think about what it is youre chasin cause if your foe is your own tail and try to match its wit it may be like pickin up dimes with a catchers mit
Sleep Apnea		Vertex	in my darkness i speak now upon this object of nature and now upon that and find it impossible to soothe my restless head however much i wish it this perpetual action of mine deprives me almost wholly of sleep buck 65 i havent slept sleep being the cousin of death and as i lay there awake at night there wasnt a breath that exited my body that didnt coincide with the recycled evaluation of feelings that i know inside boy scouts have had their way with my stomach and a marionette hangs limply from my most important muscle i simply cant imagine living on the moon hope that i can climb my way back to dreamland pretty soon buck 65 prosthetic throwing arm isnt it fantastic i won a one way ticket to hell in a handbasket it seems like i got it made and then i begin to feel like id give up all my winnings for another chance to spin the wheel i dont know if i have a prayer or a hope in heaven all i know is that im afraid to read my horoscope it makes me wanna holler or at least let out a yell id give up my next life if i thought that it would help i dont wanna play no more i just wanna get to sleep cuz most likely sleep will let me forget about the other people that havent been able to make me stop feeling like demons are hiding behind the walls and in the ceiling my catcher always told me you cant hit what you cant see your absence actually aggravates my fancy and my own stubble tickles me and irritates my sensitive skin im surprised at how uninventive ive been im frozen but my minds made up and ive chosen to lock the door behind the next person that goes in raindrops keep falling on my cheeks and on my trusty little halo over my head and so its getting rusty ive been poked by so many fingers that getting poked by fingers dont bother me no mo i feel like a jellyfish uncephalized uncivilized unspecified unspecialized currents carry me my own endurance buries me deterrents make me weary so i wear this ring for reassurance currents carry me my own endurance buries me deterrents make me weary so i wear this ring for reassurance
Bachelor of Science		Vertex	i try to be nice and take care of my appearances keep outta trouble and trifle interferences the bachelor of science i run my own company somebody call me my numbers unlisted some stories are straight and others come twisted womens intuition and young gals luck every girl i know has a crush on rapwho boys may cheat either that or they might leave her all i wanna do is dance ive got saturday night fever so let me rearrange my sock drawers alone behind locked doors and have scrambled eggs for breakfast and sit and read the box scores but im not tryin to score points with id rather read the bible than use its pages to roll joints with i get what i want but got no one to share it with a feeling in my chest and nothin to compare it with the bachelor of science i run my own company show me your photographs and tell me a ghost story as long as it doesnt involved your ex boyfriend stars glow in the dark until the first sign of daylight i like human contact but i dont like to play fight the desperado knows just how at peace we are in the bed naked watchin movies on the vcr color me see through and tickle my favorite inch turn the ringer off and thank god for david lynch i wanna show girls that i love them6x i hope to goodness that ill always be aware and sure of myself
Driftwood		Vertex	i got dibs on drums and first say on the mike rule number six for life is stay on the bike and as soon as you can get rid of the trainin wheels theres no way to explain how good an attendant feels its better than nothin but its more fun than pinball but when its done poorly its enough to make the skin crawl its like chewin on tin foil the only thing worse is when kids peddle drums without payin a few dues first so dont ask what my drums are cause i either wont tell you or else i got a list of phony records to sell you cause see noone helped me and as a matter of fact theres a thrill in the hunt for a platter of wax its calles searchin for the perfect beat the owner is prestigious to those with the knowledge and achieve sacriligious  bootlegs and reissues i avoid em like a plague but dont ask where i look cause ill lie or be vague im on the lookout for beats every little second checkin country western even heavy metal records leave no stone uncovered for every ten took in you may find none with ten hours spend lookin but thats what makes a good score so rewarding even if you spend 20 bucks on a rare recording so dont ask what my drums are cause i either wont tell you or else ive got a list of phony records to sell you
Untitled		Weirdo Magnet	 yes the actual name of the song is untitled i wondered the fields and listen for the sound of drums the colder the ground becomes the closer i get i home the planets not fit to roam but with all the chaos but when i saw the savages i played the law of averages and when the river splits in half i start to lose my wits and laugh and cry at the same time theres nothing i can do about it even though i wouldnt doubt it if the winds began to blow and carry the sounds of my voice to the lands below so i put my hands around my mouth and hollered to the sunken city that wallows in the filth of its own drunken pity and wait to see a signal but a signal is never seen eventually fatigue builds inside me exponentially and so i sleep and dream that im able to fly they will respect a man with wings later i awake in agony and learn that while i was sleeping the city had burned shrugging my shoulders i paused and gathered thoughts think twice about staying put then decide i rather not so i press on in my agnostic pilgrimage knowing that i can swim deeper than the grim reaper ready for whatever sea creatures may abound when the water swallows me and not the other way around survival saw me through the mechanical district starvation leads to being cannibalistic i have to rely on cons and silence and on talking quick defending myself with nothing but this walking stick ive never had friends and no parental guidance im wild at heart and weird on top im feared nonstop even though my rage is worn out my lifes a book with several pages torn out i just climb trees and look for rhythm everywhere i used to be the town crier in a city of stone throwers until my soul was laid bare and displayed in the parade square ignored more than a lot not less no one understood my thought process i was gagged and bound over noise complaints but commanding the resolve that destroys constraints i found my escape in a melding of memories the next thing i know im rowing this boat and blowing this note on an old tarnished trumpet ever since then ive been wondering lots watching the sky and pondering thoughts strange angel music box genie behind for sometime and now im blind in one eye and how this happened exactly will never be known my thoughts take the shape of the hang mans house never fails in time traveling salesman visit
Miss Nakamura	2010-01-01	Year Of The Carnivore Soundtrack	havent been late in decades miss nakamura x8                     miss nakamura nakamura is charming miss nakamura nakamura is pure miss nakamura she will give you sexy lessons miss nakamura she will teach you to burn miss nakamura what if you look at my urn miss nakamura there is silver ash miss nakamura its my old watch miss nakamura and i would like it back this is  and im in the urn           nakamura is charming nakamura is pure she gives you sexy lessons and shell teach you to burn but if you look at my urn there is silver ash thats my old watch and i would like it back this is  and im in the urn please get me out of here please come get me would you please get me out of here would you please get me i need to get out of here please come get me come get me would you please come get me please come get me wont you please come get me please come get me wont you please come get me
